name,ingredients,ingredients_measurements,recipe,garnish,glass
bahia,"cream of coconut, light rum, pineapple juice","[['7.5 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', ""Cream of coconut (e.g. Coco Lopez, Re'al etc.)""], ['9 cl', 'Pineapple juice (fresh pressed)']]",BLEND all ingredients with 6oz scoop crushed ice and serve with straws.,"Pineapple wedge, Luxardo Maraschino cherry & mint sprig",Collins glass
bajan daiquiri,"chilled water, difford's falernum liqueur, lime juice, powdered sugar, rum","[['5 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', ""Difford's Falernum liqueur""], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1 spoon', 'Powdered sugar (ground in mortar and pestle) (optional)'], ['1 cl', 'Chilled water']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Lime wedge on rim,Coupe glass
banana cow,"angostura aromatic bitters, banana, light rum, milk, sugar syrup, vanilla extract","[['3 cl', 'Bacardi Carta Blanca light rum'], ['9 cl', 'Milk (whole milk/full 3-4% fat)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 dash', 'Angostura Aromatic Bitters'], ['1 dash', 'Vanilla extract'], ['1 fresh', 'Banana (fresh)']]",BLEND all ingredients with 12oz scoop crushed ice and serve with straws.,Banana chunk,Collins glass
barranquilla green jade,"dry gin, milk, pasteurised egg white, peppermint pastille creme de menthe, single cream / half-and-half","[['6 cl', 'Rutte Dry Gin'], ['3 cl', 'Giffard Peppermint Pastille crème de menthe'], ['1.5 cl', 'Single cream / half-and-half'], ['1.5 cl', 'Milk (semi-skimmed/2% fat)'], ['1.5 cl', 'Pasteurised egg white']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Luxardo Maraschino cherry & mint sprig,Martini glass
basil gimlet,"basil leaves, dry gin, lime cordial, lime juice, sugar syrup","[['6 fresh', 'Basil leaves'], ['6 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Lime cordial (sweetened lime juice)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","MUDDLE basil in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",Lime zest twist (discarded) & basil leaf,Coupe glass
basilian,"basil leaves, cachaca, cucumber, ginger ale, lime juice, orange liqueur, sugar syrup","[['1 inch', 'Cucumber (fresh)'], ['5 fresh', 'Basil leaves'], ['6 cl', 'Novo Fogo Silver cachaça'], ['2.25 cl', 'Grand Marnier or other cognac orange liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['Top up with', 'Thomas Henry Ginger Ale']]","MUDDLE cucumber and basil in base of shaker. Add next four ingredients, SHAKE with ice and fine strain into ice-filled glass. TOP with ginger ale.",Lime slice & basil leaf,Collins glass
batanga,"cola, lime juice, patron silver blanco tequila, salt","[['1 pinch', 'Salt'], ['1.25 cl', 'Lime juice (freshly squeezed)'], ['6 cl', 'Patrón Silver blanco tequila'], ['10.5 cl', 'Cola (e.g. Coca Cola & Pepsi Cola)']]",STIR salt with lime juice in base of glass to dissolve salt. Add ice and other ingredients and briefly stir.,Salt rim,Collins glass
bensonhurst,"cynar or other carciofo amaro, luxardo maraschino liqueur, martini extra dry vermouth, straight rye whiskey","[['4.5 cl', 'Straight rye whiskey (100 proof / 50% alc./vol.)'], ['1 cl', 'Luxardo Maraschino liqueur'], ['3 cl', 'Martini Extra Dry vermouth'], ['0.5 cl', 'Cynar or other carciofo amaro']]",STIR all ingredients with ice and strain into chilled glass.,Luxardo Maraschino cherry,Coupe glass
bermuda cocktail,"dry gin, grenadine syrup, orange juice, peachtree peach schnapps","[['6 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Peachtree peach schnapps'], ['1.5 cl', 'Orange juice (freshly squeezed)'], ['0.75 cl', 'Giffard Grenadine syrup']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Orange zest twist &/or peach wedge on rim,Coupe glass
bermuda rose cocktail,"apricot brandy liqueur, chilled water, dry gin, grenadine syrup","[['6 cl', 'Rutte Dry Gin'], ['1.5 cl', 'De Kuyper Apricot Brandy liqueur'], ['0.75 cl', 'Giffard Grenadine syrup'], ['1.5 cl', 'Chilled water (omit if using wet ice)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Apricot slice,Martini glass
bermuda rum swizzle,"angostura aromatic bitters, dark/black/blackstrap rum, difford's falernum liqueur, grapefruit juice, lemon juice, lime juice, orange juice, pineapple juice, rum","[['3 cl', 'Havana Club 3 Year Old rum'], ['3 cl', 'Dark/black/blackstrap rum'], ['2.25 cl', ""Difford's Falernum liqueur""], ['3 cl', 'Pineapple juice (fresh pressed)'], ['3 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Grapefruit juice (pink)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Lemon juice (freshly squeezed)'], ['2 dash', 'Angostura Aromatic Bitters']]",POUR ingredients into glass and two-thirds fill with crushed ice. SWIZZLE with a swizzle stick or CHURN (stir) with a bar spoon. Fill glass with more crushed ice and repeat. Serve with straws.,Pineapple wedge & Luxardo Maraschino cherry,Collins glass
between decks,"chilled water, cranberry juice, dry gin, lime juice, orange juice, sugar syrup","[['7.5 cl', 'Rutte Dry Gin'], ['3 cl', 'Orange juice (freshly squeezed)'], ['3 cl', 'Cranberry juice (sweetened)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Chilled water (omit if using wet ice)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,"Pineapple wedge, Luxardo Maraschino cherry & mint sprig",Collins glass
between the sheets (wondrich's formula),"benedictine d.o.m., cognac, lemon juice, triple sec","[['3 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Bénédictine D.O.M.'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['0.75 cl', 'Lemon juice (freshly squeezed)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Orange zest twist (flamed),Coupe glass
bijou shot,"dry gin, green chartreuse liqueur, sweet vermouth","[['1.5 cl', 'Martini Rosso sweet vermouth'], ['1.5 cl', 'Green Chartreuse liqueur'], ['1.5 cl', 'Rutte Dry Gin']]",Carefully LAYER ingredients in the following order.,,Shot glass
bistro sidecar,"cognac, hazelnut liqueur, lemon juice, orange juice, tuaca liqueur","[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Tuaca liqueur'], ['1.5 cl', 'Hazelnut liqueur'], ['0.75 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Orange juice (freshly squeezed)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Lemon zest twist,Martini glass
black & velvet,"medium dry apple cider, stout beer","[['1⁄2 pint', 'Medium dry apple cider'], ['1⁄2 pint', 'Stout beer']]",POUR cider into chilled glass then FLOAT Guinness on top.,,Boston glass
black cherry cocktail,"framboise de ronce, martini extra dry vermouth, vodka","[['7.5 cl', 'Ketel One Vodka'], ['2.25 cl', 'Giffard Framboise de Ronce (raspberry liqueur)'], ['1.5 cl', 'Martini Extra Dry vermouth']]",STIR all ingredients with ice and strain into chilled glass.,Luxardo Maraschino cherry,Martini glass
black feather,"angostura aromatic bitters, cognac, martini extra dry vermouth, triple sec","[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1.25 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'Martini Extra Dry vermouth'], ['1 dash', 'Angostura Aromatic Bitters']]",STIR all ingredients with ice and strain into chilled glass.,Lemon zest twist,Coupe glass
black jack cocktail,"chilled water, dry gin, kirschwasser eau-de-vie, noir de bourgogne cassis","[['4.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Kirschwasser (cherry) eau-de-vie'], ['1.5 cl', 'Giffard Noir de Bourgogne Cassis'], ['1.5 cl', 'Chilled water (omit if using wet ice)']]",STIR all ingredients with ice and strain into chilled glass.,Lemon zest twist,Coupe glass
black japan,"green melon liqueur, stout beer","[['4.5 cl', 'Green melon liqueur'], ['Float', 'Stout beer']]",POUR melon liqueur into chilled glass then float Guinness on top.,,Collins glass
blackthorn (kirschwasser),"dry gin, dubonnet red, kirschwasser eau-de-vie","[['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Kirschwasser (cherry) eau-de-vie'], ['2.25 cl', 'Dubonnet Red']]",STIR all ingredients with ice and strain into chilled glass.,Lemon zest twist,Martini glass
blade runner,"angostura aromatic bitters, lime juice, overproof pot still rum, pineapple juice, rum, sugar syrup","[['6 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'Overproof pot still rum'], ['7.5 cl', 'Pineapple juice (fresh pressed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 dash', 'Angostura Aromatic Bitters'], ['1.5 cl', 'Lime juice (freshly squeezed)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Pineapple wedge & Luxardo Maraschino cherry,Collins glass
blood and sand (difford's recipe),"cherry heering cherry brandy liqueur, orange juice, sweet vermouth, whisky, whisky","[['3 cl', ""Dewar's 12 Year Old Scotch whisky""], ['2.25 cl', 'Cherry Heering cherry brandy liqueur'], ['2.25 cl', 'Martini Rosso sweet vermouth'], ['0.5 cl', 'Islay single malt (peated) Scotch whisky (optional)'], ['3 cl', 'Orange juice (freshly squeezed)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Orange zest twist (discarded) & Luxardo Maraschino cherry,Coupe glass
bloody caesar,"black pepper, celery salt, clamato juice, hot pepper sauce, lemon juice, vodka, worcestershire sauce","[['6 cl', 'Ketel One Vodka'], ['12 cl', 'Clamato juice'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['7 drop', 'Hot pepper sauce (red)'], ['3 dash', 'Worcestershire sauce'], ['2 pinch', 'Celery salt'], ['2 grind', 'Black pepper']]",ROLL rather than shake all ingredients in a shaker with ice and fine strain into ice-filled glass.,Pickled bean,Collins glass
bloomsbury martini,"dry gin, licor 43 original liqueur, martini extra dry vermouth, peychaud's or other creole-style bitters","[['6 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Licor 43 Original liqueur'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['2 dash', ""Peychaud's or other Creole-style bitters""]]",STIR all ingredients with ice and strain into chilled glass.,Lemon zest twist,Martini glass
bonnie prince charles,"cognac, drambuie liqueur, lime juice","[['3 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Drambuie liqueur'], ['0.75 cl', 'Lime juice (freshly squeezed)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Half lime slice wheel on rim or float dehydrated lime slice,Nick & Nora glass
boulevard,"bourbon whiskey, martini extra dry vermouth, orange bitters, orange liqueur","[['7.5 cl', 'Bourbon whiskey'], ['1.5 cl', 'Grand Marnier or other cognac orange liqueur'], ['3 cl', 'Martini Extra Dry vermouth'], ['2 dash', 'Orange Bitters by Angostura']]",STIR all ingredients with ice and strain into chilled glass.,Orange zest twist (discarded) & Luxardo Maraschino cherry,Martini glass
bourbon crusta,"bourbon whiskey, chilled water, lemon juice, luxardo maraschino liqueur, orange bitters, sugar syrup, triple sec","[['6 cl', 'Bourbon whiskey'], ['0.75 cl', 'De Kuyper Triple Sec (40%)'], ['0.5 cl', 'Luxardo Maraschino liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 dash', 'Orange Bitters by Angostura'], ['1.5 cl', 'Chilled water (omit if using wet ice)']]",SHAKE all ingredients with ice and fine strain into pre-prepared glass.,Find a lemon which fits into a small wineglass tightly enough to act as a watertight extension to the glass. Cut off both ends of the fruit and carefully remove the pulp to leave a barrel-shaped shell of skin. Place in the top of the glass. Wet the edge of the glass and exposed fruit shell with sugar syrup and dip in caster sugar to frost the edge of both peel and glass. Leave for a couple of hours to form a hard crust.,Flute glass
brake tag,"cranberry juice, disaronno amaretto, liqueur, orange juice, peychaud's or other creole-style bitters","[['1.5 cl', 'Disaronno amaretto'], ['4.5 cl', 'Southern USA-style liqueur 40% (e.g. Southern Comfort)'], ['3 cl', 'Cranberry juice (sweetened)'], ['3 cl', 'Orange juice (freshly squeezed)'], ['3 dash', ""Peychaud's or other Creole-style bitters""]]",SHAKE all ingredients with ice and strain into ice-filled glass.,Orange zest twist,Old-fashioned glass
brass monkey,"dark/black/blackstrap rum, orange juice, sugar syrup, vodka","[['3 cl', 'Ketel One Vodka'], ['3 cl', 'Dark/black/blackstrap rum'], ['7.5 cl', 'Orange juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Lemon slice wheel,Collins glass
brass rail,"benedictine d.o.m., lemon juice, orange bitters, pasteurised egg white, rum, sugar syrup","[['5 cl', 'Havana Club 7yo rum'], ['1.5 cl', 'Bénédictine D.O.M.'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 cl', 'Pasteurised egg white'], ['1 dash', 'Orange Bitters by Angostura']]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,Flamed orange zest twist (discarded) & light dusting of ground cinnamon on surface of drink,Coupe glass
brazilian cosmopolitan,"cachaca, cranberry juice, lime juice, triple sec","[['3 cl', 'Novo Fogo Silver cachaça'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['4.5 cl', 'Cranberry juice (sweetened)'], ['1.5 cl', 'Lime juice (freshly squeezed)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Orange zest twist,Martini glass
caipiginger,"cachaca, lime juice, root ginger, sugar syrup","[['6 cl', 'Novo Fogo Silver cachaça'], ['2 slice', 'Root ginger (thumbnail-sized slice)'], ['3 cl', 'Lime juice (freshly squeezed)'], ['2.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","MUDDLE ginger in base of shaker. Add other ingredients, SHAKE with ice and strain into glass filled with crushed ice. Serve with straws.",Lime zest twist (discarded) & lime wedge,Old-fashioned glass
caipirinha (contemporary serve),"cachaca, lime, sugar syrup","[['3⁄4 fresh', 'Lime (fresh) (chopped wedges)'], ['6 cl', 'Novo Fogo Silver cachaça'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",MUDDLE lime wedges in the base of shaker to release juice and oils in its skin. Add cachaça and sugar. SHAKE with 6oz scoop crushed ice and pour all without straining into glass.,Stirrer but no garnish,Old-fashioned glass
californian martini,"martini extra dry vermouth, orange bitters, orange liqueur, vodka","[['5 cl', 'Ketel One Vodka'], ['2.25 cl', 'Grand Marnier or other cognac orange liqueur'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['1 dash', 'Orange Bitters by Angostura']]",STIR all ingredients with ice and strain into chilled glass.,Orange zest twist,Martini glass
canadian apple (non-alcoholic),"apple juice, lemon juice, maple syrup","[['10.5 cl', 'Apple juice'], ['4.5 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Maple syrup']]",SHAKE all ingredients with ice and fine strain into ice-filled glass.,Apple slice,Collins glass
canchanchara,"honey syrup, lime juice, rum","[['6 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['2 cl', 'Honey syrup (3 honey to 1 water)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Lime wedge,Old-fashioned glass
caprice,"benedictine d.o.m., dry gin, martini extra dry vermouth, orange bitters","[['4.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Bénédictine D.O.M.'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['1 dash', 'Orange Bitters by Angostura']]",STIR all ingredients with ice and strain into chilled glass.,Orange zest twist,Martini glass
cardinale,"dry gin, italian red bitter liqueur, martini extra dry vermouth","[['4 cl', 'Rutte Dry Gin'], ['4 cl', 'Italian red bitter liqueur'], ['4 cl', 'Martini Extra Dry vermouth']]",STIR all ingredients with ice and strain into ice-filled glass.,Orange slice,Old-fashioned glass
caribe daiquiri,"difford's falernum liqueur, lemon juice, light rum, pineapple juice","[['6 cl', 'Bacardi Carta Blanca light rum'], ['3 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', ""Difford's Falernum liqueur""]]",SHAKE all ingredients with ice and fine strain into chilled glass.,Lemon wedge,Martini glass
carrol cocktail,"cognac, sweet vermouth","[['6 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Martini Rosso sweet vermouth']]",STIR all ingredients with ice and strain into chilled glass.,Pickled walnut or onion,Martini glass
caruso cocktail,"dry gin, martini extra dry vermouth, peppermint pastille creme de menthe","[['3 cl', 'Rutte Dry Gin'], ['3 cl', 'Martini Extra Dry vermouth'], ['3 cl', 'Giffard Peppermint Pastille crème de menthe']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Mint leaf,Coupe glass
casablanca,"light rum, lime juice, luxardo maraschino liqueur, pasteurised egg white, sugar syrup, triple sec","[['4.5 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Luxardo Maraschino liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Pasteurised egg white']]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,Orange zest twist,Coupe glass
chancellor,"martini extra dry vermouth, orange bitters, sugar syrup, tawny port, whisky","[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['3 cl', 'Tawny port'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 dash', 'Orange Bitters by Angostura']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Orange zest twist,Martini glass
charente collins,"lemon juice, mint leaves, orange liqueur, st-germain elderflower liqueur","[['5 fresh', 'Mint leaves'], ['6 cl', 'Grand Marnier or other cognac orange liqueur'], ['3 cl', 'St-Germain elderflower liqueur'], ['3 cl', 'Lemon juice (freshly squeezed)']]","Lightly MUDDLE mint in base of shaker (just to bruise). Add other ingredients, SHAKE with ice and strain into glass filled with crushed ice. Serve with straws.",Mint sprig & orange zest twist,Collins glass
chatham hotel special,"brown creme de cacao, cognac, single cream / half-and-half, tawny port","[['6 cl', 'Rémy Martin 1738 Cognac'], ['2.25 cl', 'Tawny port'], ['1.5 cl', 'De Kuyper Brown Crème de Cacao'], ['1.5 cl', 'Single cream / half-and-half']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Dust with grated nutmeg,Coupe glass
chocolarita,"brown creme de cacao, coffee liqueur, lime juice, sugar syrup, tequila","[['6 cl', 'Patrón Reposado tequila'], ['1 cl', 'De Kuyper Brown Crème de Cacao'], ['0.5 cl', 'Coffee liqueur'], ['2 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Chocolate powder rim,Coupe glass
clover leaf martini no.2 (modern formula),"dry gin, grenadine syrup, lemon juice, mint leaves, pasteurised egg white, raspberries","[['7 fresh', 'Raspberries (fresh)'], ['3 fresh', 'Mint leaves'], ['6 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Giffard Grenadine syrup'], ['1.5 cl', 'Pasteurised egg white']]","MUDDLE raspberries in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",Mint leaf,Martini glass
club cocktail (embury's recipe),"fino sherry, orange bitters, tawny port","[['4.5 cl', 'Fino sherry'], ['4.5 cl', 'Tawny port'], ['1 dash', 'Orange Bitters by Angostura']]",STIR all ingredients with ice and strain into chilled glass.,Orange zest twist,Martini glass
club cocktail (craddock's recipe),"chilled water, dry gin, sweet vermouth, yellow chartreuse liqueur","[['6 cl', 'Rutte Dry Gin'], ['3 cl', 'Martini Rosso sweet vermouth'], ['0.5 cl', 'Yellow Chartreuse liqueur'], ['1 cl', 'Chilled water (omit if using wet ice)']]",SHAKE all ingredients with ice & strain into chilled glass.,Chilled olive on stick,Martini glass
coffee batida,"cachaca, coffee liqueur, espresso coffee, sugar syrup","[['6 cl', 'Novo Fogo Silver cachaça'], ['3 cl', 'Coffee liqueur'], ['3 cl', 'Espresso coffee (freshly made & hot)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",BLEND all ingredients with crushed ice and serve with straws,Coffee beans,Old-fashioned glass
cold winter warmer sour,"benedictine d.o.m., citroen vodka, honey, lemon juice, pasteurised egg white","[['1 spoon', 'Honey'], ['3 cl', 'Ketel One Citroen Vodka'], ['1.5 cl', 'Bénédictine D.O.M.'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Pasteurised egg white']]","STIR honey with vodka in base of shaker until honey dissolves. Add other ingredients, SHAKE with ice and strain back into shaker. DRY SHAKE (without ice) and strain into ice-filled glass.","Lemon zest twist (discarded), orange slice & Luxardo Maraschino cherry on stick (sail)",Old-fashioned glass
colonel's big opu,"brut champagne, dry gin, lime juice, orange bitters, triple sec","[['3 cl', 'Rutte Dry Gin'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['Top up with', 'Brut Champagne'], ['1 dash', 'Orange Bitters by Angostura']]",SHAKE first 3 ingredients with ice and strain into ice-filled glass. TOP with champagne and serve with straws.,Orange slice & cherry on stick (sail),Collins glass
columbus daiquiri,"apricot brandy liqueur, chilled water, lime juice, rum, sugar syrup","[['4.5 cl', 'Havana Club 3 Year Old rum'], ['3 cl', 'De Kuyper Apricot Brandy liqueur'], ['2.5 cl', 'Lime juice (freshly squeezed)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 cl', 'Chilled water (omit if using wet ice)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Lime or apricot wedge on rim,Coupe glass
commodore no.1,"grenadine syrup, lemon juice, pasteurised egg white, rum, sugar syrup","[['6 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['0.5 cl', 'Giffard Grenadine syrup'], ['1.5 cl', 'Pasteurised egg white']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Luxardo Maraschino cherry,Coupe glass
commodore no.2,"bourbon whiskey, dutch cacao white creme de cacao, grenadine syrup, lemon juice","[['2.5 cl', 'Bourbon whiskey'], ['2.5 cl', 'Dutch Cacao white crème de cacao'], ['2.5 cl', 'Lemon juice (freshly squeezed)'], ['0.5 cl', 'Giffard Grenadine syrup']]",SHAKE all ingredients with ice and fine strain into glass filled with crushed ice.,Luxardo Maraschino cherry,Coupe glass
concealed weapon,"absinthe, angostura aromatic bitters, framboise de ronce, lemon juice, pasteurised egg white, peychaud's or other creole-style bitters, sugar syrup","[['3 cl', 'La Fée Parisienne absinthe'], ['3 cl', 'Giffard Framboise de Ronce (raspberry liqueur)'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 dash', 'Angostura Aromatic Bitters'], ['1 dash', ""Peychaud's or other Creole-style bitters""], ['1.5 cl', 'Pasteurised egg white']]",SHAKE all ingredients with ice and strain into ice-chilled glass.,Lemon zest twist,Old-fashioned glass
coquetail au vanilla,"difford's falernum liqueur, light rum","[['6 cl', 'Bacardi Carta Blanca light rum (infused with vanilla)'], ['0.75 cl', ""Difford's Falernum liqueur""]]",SHAKE all ingredients with ice and strain into glass filled with crushed ice. Serve with straws.,Luxardo Maraschino cherry,Old-fashioned glass
corpse reviver no.2 (savoy recipe),"absinthe, dry gin, lemon juice, lillet blanc, sugar syrup, triple sec","[['2.25 cl', 'Rutte Dry Gin'], ['2.25 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'Lillet Blanc (or other aromatized wine)'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['0.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup) (optional)'], ['2 dash', 'La Fée Parisienne absinthe']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Lemon zest twist,Coupe glass
cosmopolitan cocktail (1934 recipe),"chilled water, dry gin, lemon juice, raspberry sugar syrup, triple sec","[['5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Raspberry (framboise) sugar syrup'], ['1 cl', 'Chilled water (omit if using wet ice)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Orange zest twist,Coupe glass
covadonga,"angostura aromatic bitters, grenadine syrup, italian red bitter liqueur, orange juice, sweet vermouth","[['4.5 cl', 'Italian red bitter liqueur'], ['3 cl', 'Martini Rosso sweet vermouth'], ['3 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Giffard Grenadine syrup'], ['5 dash', 'Angostura Aromatic Bitters']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Orange slice,Martini glass
cranberry delicious (non-alcoholic),"angostura aromatic bitters, cranberry juice, lime juice, mint leaves, sugar syrup","[['12 fresh', 'Mint leaves'], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['12 cl', 'Cranberry juice (sweetened)'], ['3 dash', 'Angostura Aromatic Bitters']]","MUDDLE mint in base of shaker. Add other ingredients, SHAKE with ice and strain into ice-filled glass.",Mint sprig,Collins glass
creole cosmo,"clement creole shrubb liqueur, cranberry juice, lime juice, martinique blanc rhum agricole","[['4 cl', 'Clément Créole Shrubb liqueur'], ['2 cl', 'Martinique blanc rhum agricole'], ['3 cl', 'Cranberry juice (sweetened)'], ['1.5 cl', 'Lime juice (freshly squeezed)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Lime zest twist,Coupe glass
crimea,"apple juice, chilled water, coriander / cilantro leaves, dry gin, lemon juice, sugar syrup","[['5 fresh', 'Coriander / cilantro leaves'], ['6 cl', 'Rutte Dry Gin'], ['3 cl', 'Apple juice'], ['0.75 cl', 'Lemon juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Chilled water (omit if using wet ice)']]","MUDDLE coriander in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",Coriander leaf,Martini glass
crossbow,"chilled water, dry gin, dutch cacao white creme de cacao, triple sec","[['4.5 cl', 'Rutte Dry Gin'], ['2 cl', 'De Kuyper Triple Sec (40%)'], ['2 cl', 'Dutch Cacao white crème de cacao'], ['1 cl', 'Chilled water (omit if using wet ice)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Orange juice and chocolate powder rim &/or orange zest twist,Coupe glass
